Date,Automobile,Train,Air
1990-01-01,163.28,454115779,35153577
1990-02-01,153.25,435086002,32965187
1990-03-01,178.42,568289732,39993913
1990-04-01,178.68,568101697,37981886
1990-05-01,188.88,539628385,38419672
1990-06-01,189.16,570694457,42819023
1990-07-01,195.09,618571581,45770315
1990-08-01,196.67,609210368,48763670
1990-09-01,178.07,488444939,38173223
1990-10-01,182.27,514253920,39051877
1990-11-01,171.23,516429873,35699216
1990-12-01,168.29,531619395,37444088
1991-01-01,157.88,496467387,34848290
1991-02-01,153.34,469504489,29672427
1991-03-01,179.06,587905914,36202993
1991-04-01,179.52,509488334,37146602
1991-05-01,191.91,566342448,38869421
1991-06-01,193.45,603845247,42199760
1991-07-01,198.37,633450001,45384965
1991-08-01,204.05,664013874,48164550
1991-09-01,183.58,494557648,38481957
1991-10-01,188.43,509037626,39062110
1991-11-01,169.68,472359118,34688141
1991-12-01,172.77,550795984,38575165
1992-01-01,167.89,493541137,35265807
1992-02-01,160.43,462084011,33868884
1992-03-01,184.03,559205172,39724539
1992-04-01,186.32,572122965,37294373
1992-05-01,196.99,546043825,39728367
1992-06-01,197.49,478204759,45754460
1992-07-01,206.88,610774196,50807813
1992-08-01,205.02,627359211,53219046
1992-09-01,191.16,516516158,41564915
1992-10-01,195.1,538313763,40578092
1992-11-01,177.62,539769246,36863415
1992-12-01,181.25,551397116,39045016
1993-01-01,171.66,500349189,37911556
1993-02-01,162.82,461280157,34902869
1993-03-01,187.84,534476186,42058882
1993-04-01,188.71,562429065,40814097
1993-05-01,205.95,554039017,42133943
1993-06-01,199.39,580500717,44679864
1993-07-01,209.81,586861727,48622037
1993-08-01,209.6,611839976,50451675
1993-09-01,193.74,501353952,41677832
1993-10-01,197.76,507702230,43264475
1993-11-01,182.3,489299178,38868799
1993-12-01,186.8,503041903,40610043
1994-01-01,169.31,472917856,38863562
1994-02-01,166.45,463567851,36068535
1994-03-01,196.19,572167273,45433842
1994-04-01,195.41,546898075,42418163
1994-05-01,206.6,524008197,44297210
1994-06-01,207.28,531971149,48169096
1994-07-01,214.78,578257564,52410979
1994-08-01,215.05,587229076,53235052
1994-09-01,200.51,490032783,44677623
1994-10-01,202.86,493619903,45845403
1994-11-01,190.07,477594716,42230318
1994-12-01,193.09,490779357,43868116
1995-01-01,183.62,425207429,42050940
1995-02-01,172.52,393268412,38580784
1995-03-01,202.41,489360683,47390145
1995-04-01,199.53,490903635,45427499
1995-05-01,213.56,511120586,45915722
1995-06-01,212.28,542693418,49992583
1995-07-01,217.72,571259638,53345749
1995-08-01,219.87,580982161,54776466
1995-09-01,204.32,451385426,45589237
1995-10-01,206.99,441202778,46993036
1995-11-01,195.41,435470011,43703386
1995-12-01,194.59,444598571,45015358
1996-01-01,183.74,362022328,42734234
1996-02-01,176.82,343413949,43056589
1996-03-01,204.47,416042895,51646570
1996-04-01,205.56,425092726,48063492
1996-05-01,219.0,467573082,49808809
1996-06-01,215.87,476554648,53774378
1996-07-01,225.44,525954361,56576582
1996-08-01,229.39,551695523,58714135
1996-09-01,207.91,412344840,47857913
1996-10-01,215.97,425991795,49873317
1996-11-01,199.94,389249720,44696485
1996-12-01,201.75,437256586,49361193
1997-01-01,190.13,337798678,46692784
1997-02-01,183.95,337893100,43761932
1997-03-01,211.95,416925515,54755166
1997-04-01,211.29,408488665,50182894
1997-05-01,226.08,444032624,51979543
1997-06-01,222.25,481053743,55462027
1997-07-01,236.71,540293509,58771317
1997-08-01,233.5,552486079,60496856
1997-09-01,213.55,425814893,50076953
1997-10-01,221.22,445858326,51846329
1997-11-01,202.42,441249575,47743798
1997-12-01,207.32,454400575,50414361
1998-01-01,196.87,371355589,47290992
1998-02-01,187.17,326874247,44641209
1998-03-01,214.22,426172239,54453961
1998-04-01,217.92,447877815,53044174
1998-05-01,227.9,462341914,54302581
1998-06-01,228.73,482325897,57335447
1998-07-01,239.94,537481124,59441840
1998-08-01,237.14,526444502,60813085
1998-09-01,219.46,430364874,49560508
1998-10-01,228.52,444719403,53463147
1998-11-01,211.18,427669956,49561082
1998-12-01,216.3,459051399,51024977
1999-01-01,194.44,384824724,48861094
1999-02-01,192.33,350270063,46158194
1999-03-01,221.74,436837107,57761057
1999-04-01,221.98,435360347,54968382
1999-05-01,231.81,450054655,55469960
1999-06-01,237.02,496553598,59918608
1999-07-01,244.2,543923323,64397523
1999-08-01,242.57,528001216,63752132
1999-09-01,225.3,393137094,53733696
1999-10-01,234.66,425897553,57407208
1999-11-01,222.83,421595015,53866781
1999-12-01,222.46,442742459,52331272
2000-01-01,203.58,366607410,49745428
2000-02-01,199.64,366139276,49876910
2000-03-01,232.63,453096388,61378569
2000-04-01,227.81,473751011,58981617
2000-05-01,242.11,481725263,61165486
2000-06-01,243.01,517102460,65524091
2000-07-01,245.08,564747276,67883256
2000-08-01,247.77,558060051,66924512
2000-09-01,227.33,446489429,56441629
2000-10-01,236.55,462329685,58834210
2000-11-01,222.8,442268378,56283261
2000-12-01,218.44,461651082,55380280
2001-01-01,209.26,379458113,53129922
2001-02-01,199.91,366288212,49992995
2001-03-01,231.49,448912584,62323049
2001-04-01,231.37,455496342,59801562
2001-05-01,244.25,462376555,60246477
2001-06-01,242.58,528690495,64987625
2001-07-01,248.79,564037290,68573410
2001-08-01,251.69,562266005,69003617
2001-09-01,224.57,446266947,39106905
2001-10-01,240.0,452095235,44271037
2001-11-01,229.48,446094295,45245063
2001-12-01,228.09,479188434,48167518
2002-01-01,213.81,398440459,46587818
2002-02-01,206.46,397948828,45157533
2002-03-01,234.01,461087451,57423155
2002-04-01,234.81,453147413,53013066
2002-05-01,249.89,461648459,55663570
2002-06-01,246.39,499751748,60224150
2002-07-01,254.19,564046073,62570110
2002-08-01,256.24,516103068,62881793
2002-09-01,230.6,385097846,48925997
2002-10-01,243.29,399248774,52779975
2002-11-01,228.39,375996408,48902677
2002-12-01,231.26,448246102,55355434
2003-01-01,216.6,393287373,50602700
2003-02-01,201.9,390041481,46455943
2003-03-01,236.7,472573962,56033121
2003-04-01,238.1,483653074,51146721
2003-05-01,253.2,489484678,53591384
2003-06-01,252.0,531138943,59426357
2003-07-01,261.3,578767927,65041408
2003-08-01,259.6,557897322,64095456
2003-09-01,236.0,427807444,51347366
2003-10-01,253.4,463025617,55810667
2003-11-01,233.3,448181812,53249129
2003-12-01,237.6,489403554,57795908
2004-01-01,217.3,410338691,53447972
2004-02-01,210.4,389778365,52608801
2004-03-01,247.5,453014590,63600019
2004-04-01,245.4,471116666,61887720
