country,year,sex,cases
Afghanistan,1997,f,102
Afghanistan,1997,m,26
Afghanistan,1998,f,1207
Afghanistan,1998,m,571
Afghanistan,1999,f,517
Afghanistan,1999,m,228
Afghanistan,2000,f,1751
Afghanistan,2000,m,915
Afghanistan,2001,f,3062
Afghanistan,2001,m,1577
Afghanistan,2002,f,4418
Afghanistan,2002,m,2091
Afghanistan,2003,f,4423
Afghanistan,2003,m,2105
Afghanistan,2004,f,5587
Afghanistan,2004,m,2658
Afghanistan,2005,f,6818
Afghanistan,2005,m,3131
Afghanistan,2006,f,8520
Afghanistan,2006,m,3949
Afghanistan,2007,f,9031
Afghanistan,2007,m,4182
Afghanistan,2008,f,8915
Afghanistan,2008,m,4221
Afghanistan,2009,f,8536
Afghanistan,2009,m,3967
Afghanistan,2010,f,8701
Afghanistan,2010,m,4246
Afghanistan,2011,f,9956
Afghanistan,2011,m,5586
Afghanistan,2012,f,10061
Afghanistan,2012,m,5713
Afghanistan,2013,f,1749
Afghanistan,2013,m,1705
India,1995,f,550
India,1995,m,1435
India,1996,f,1861
India,1996,m,4393
India,1997,f,2497
India,1997,m,5211
India,1998,f,4007
India,1998,m,8414
India,1999,f,16741
India,1999,m,36159
India,2000,f,121214
India,2000,m,265084
India,2001,f,55456
India,2001,m,129821
India,2002,f,110780
India,2002,m,240713
India,2003,f,125255
India,2003,m,279629
India,2004,f,147527
India,2004,m,332138
India,2005,f,158597
India,2005,m,349960
India,2006,f,170252
India,2006,m,383545
India,2007,f,430522
India,2007,m,767767
India,2008,f,187605
India,2008,m,427887
India,2009,f,189927
India,2009,m,434690
India,2010,f,193400
India,2010,m,436764
India,2011,f,198109
India,2011,m,444202
India,2012,f,194193
India,2012,m,435396
Norway,1995,f,24
Norway,1995,m,38
Norway,1996,f,39
Norway,1996,m,64
Norway,1997,f,39
Norway,1997,m,61
Norway,1998,f,21
Norway,1998,m,28
Norway,1999,f,7
Norway,1999,m,14
Norway,2000,f,24
Norway,2000,m,50
Norway,2001,f,24
Norway,2001,m,35
Norway,2002,f,13
Norway,2002,m,18
Norway,2003,f,20
Norway,2003,m,18
Norway,2004,f,24
Norway,2004,m,22
Norway,2005,f,17
Norway,2005,m,30
Norway,2006,f,140
Norway,2006,m,136
Norway,2007,f,139
Norway,2007,m,143
Norway,2008,f,120
Norway,2008,m,132
Norway,2009,f,117
Norway,2009,m,158
Norway,2010,f,124
Norway,2010,m,152
Norway,2011,f,145
Norway,2011,m,165
Norway,2012,f,156
Norway,2012,m,173
Norway,2013,f,176
Norway,2013,m,186
