Country,year,month,day,date,tmax,tmin
India,2015,1,30,2015-01-30,27.8,14.5
India,2015,2,2,2015-02-02,27.3,14.4
India,2015,2,3,2015-02-03,24.1,14.4
India,2015,2,11,2015-02-11,29.7,13.4
India,2015,2,23,2015-02-23,29.9,10.7
India,2015,3,5,2015-03-05,32.1,14.2
India,2015,3,10,2015-03-10,34.5,16.8
India,2015,3,16,2015-03-16,31.1,17.6
India,2015,4,27,2015-04-27,36.3,16.7
India,2015,5,27,2015-05-27,33.2,18.2
India,2015,6,17,2015-06-17,28.0,17.5
India,2015,6,29,2015-06-29,30.1,18.0
India,2015,7,3,2015-07-03,28.6,17.5
India,2015,7,14,2015-07-14,29.9,16.5
India,2015,8,5,2015-08-05,29.6,15.8
India,2015,8,8,2015-08-08,29.0,17.3
India,2015,8,13,2015-08-13,29.8,16.5
India,2015,8,23,2015-08-23,26.4,15.0
India,2015,8,25,2015-08-25,29.7,15.6
India,2015,8,29,2015-08-29,28.0,15.3
India,2015,8,31,2015-08-31,25.4,15.4
India,2015,10,5,2015-10-05,27.0,14.0
India,2015,10,7,2015-10-07,28.1,12.9
India,2015,10,14,2015-10-14,29.5,13.0
India,2015,10,15,2015-10-15,28.7,10.5
India,2015,10,28,2015-10-28,31.2,15.0
India,2015,11,2,2015-11-02,31.3,16.3
India,2015,11,4,2015-11-04,27.2,12.0
India,2015,11,5,2015-11-05,26.3,7.9
India,2015,11,26,2015-11-26,28.1,12.1
India,2015,11,27,2015-11-27,27.7,14.2
India,2015,12,1,2015-12-01,29.9,13.8
India,2015,12,6,2015-12-06,27.8,10.5
